"id","nama","status","gender","orang_tua"
"1","Budi","bapak","laki laki","null"
"2","dedi","anak","laki laki","budi"
"3","dodi","anak","laki laki","budi"
"4","dede","anak","laki laki","budi"
"5","dewi","anak","perempuan","budi"
"6","feri","cucu","laki laki","dedi"
"7","farah","cucu","perempuan","dedi"
"8","gugus","cucu","laki laki","dodi"
"9","gandi","cucu","laki laki","dodi"
"10","hani","cucu","perempuan","dede"
"11","hana","cucu","perempuan","dede"
"38","Wowowowowo","bapak","laki laki","Mbah"
"39","aaaa","bapak","laki laki","Mbah"
